States,Ratio10,Ratio11,Ratio12,Ratio13,Ratio14,Ratio15,Ratio16
Alabama,7.941101785410987,15.603087589189792,14.353833917854503,15.822222109136279,17.41272566329853,18.24522852498956,17.514186060454307
Alaska,7.297716839482712,16.217743361354717,17.116105063927165,16.57884141570422,16.90612804610856,16.91451261786355,16.963389994261917
Arizona,11.092164494032694,21.266059253762045,22.293100251665663,22.797228132335153,23.100405448536794,23.13219961137638,23.291894165252316
Arkansas,6.678885305493677,14.216360199346967,14.243679284366133,14.02623418975274,13.855953874170055,13.745218044864984,13.810323450964587
California,11.859585158194665,23.40190941249422,23.65947887897629,24.325557437466042,23.580552860950046,23.93148752331009,23.256315781791002
Colorado,8.314571757395791,17.768402687646013,17.651868421004217,17.48495136107642,17.29985862471917,17.35800114791789,17.399483563408634
Connecticut,6.02168164622811,12.656989038418383,12.541254726410513,12.572770491233472,12.901877564372924,12.289344565091492,12.637637212114342
Delaware,7.8530911271230615,15.016052943854874,13.938208922977207,14.027072685943635,13.8921621971758,15.047016696590273,14.798114723833104
District of Columbia,6.2633554518360235,11.772904368546971,12.850416026733726,13.044131367636774,12.331195832635219,12.376327313380733,12.762022836365148
Florida,7.933615490459226,15.246056856238889,15.249827500955746,15.297694952916228,15.278814659115072,15.29268328883656,15.11647850612137
Georgia,7.3818629986244835,15.162116125409753,15.574759360635817,15.751948538481921,15.649413563135486,15.546504941122347,15.37388955451476
Hawaii,8.275178565010934,15.94519988445128,15.916335004565736,15.858632588184863,15.638217875605239,15.493023823247187,15.409543307140078
Idaho,9.928903666681903,17.502520255852872,19.558489589162814,19.762800532205638,18.63557971237328,18.66818851308281,18.341263522979038
Illinois,9.694155797598334,15.807706197675458,15.275381777691639,15.15886671852144,15.478648975651828,15.712249408860744,15.723982207626873
Indiana,7.544790420887307,16.695359438729596,17.395789205001797,17.508024486845727,18.502516208086703,18.149279972119565,17.44545485220397
Iowa,7.121676341554893,14.307457264741481,14.248049614255775,14.209367270631542,14.160680572210191,14.235072290037767,14.237891825411277
Kansas,7.139413851939755,12.99500364902038,11.857542576715678,13.011854931079943,13.204650777448625,12.386159924246908,13.658541302590953
Kentucky,6.783838466906202,16.292217236252164,16.020005863997348,16.197647022815048,16.559570351482076,16.38576195804937,16.274982309724248
Louisiana,6.904782697867011,14.456084651300058,15.290403521703396,15.321669766571464,15.468431495004051,12.292119361886805,14.796959683623328
Maine,5.809031362139311,12.692671432908563,12.201946120372511,11.907774370019553,12.216194575385643,12.224069462206367,12.238018725296776
Maryland,7.386932717630642,14.83070132256045,14.893632872239035,14.778261835402283,14.77362589318189,14.804568473239375,14.843762300417094
Massachusetts,7.828821386585799,13.748720479452825,13.516754709266882,13.558589385435234,13.301656493506314,13.394983797230983,13.319617571641794
Michigan,8.202463818945207,18.087181036298112,18.053455462505973,18.05467222218596,18.085046835356106,18.249135226784468,18.286099671328547
Minnesota,7.688884758156258,15.894417539586607,15.776998573657089,15.639266574151312,15.393078497185472,15.439500739748679,15.428512688280641
Mississippi,7.227827769035918,15.328653473995725,15.136388472734877,15.253991125430327,15.193423941890028,15.142177023611165,15.134154103684697
Missouri,7.161245293249296,13.83491068055334,13.855472881598727,13.777549457592858,13.62597440003088,13.591043017785983,13.471084734129953
Montana,7.361027124413218,14.020843778040653,14.010739331502595,13.979100551680258,14.122093398186129,13.956393729479377,13.867598657720663
Nebraska,6.55913205873027,13.582929551761882,13.731474690843317,13.734930400614973,13.600105099729463,13.558000616432667,13.51894848387564
Nevada,13.088250308157667,20.80467548446632,21.536993324458383,20.612173303729502,21.20410035801247,20.59407955507023,19.98526028837356
New Hampshire,5.908372300493701,12.751508385827817,12.661829048490086,12.566352580921484,12.500676919744395,12.35130029723014,12.255616683378953
New Jersey,6.921596418362996,12.362760904892584,12.370141741573683,11.959160839649087,12.171878610674721,12.254183733299445,12.18729161955582
New Mexico,7.268419386091761,15.358651672292897,15.23463417644375,15.254661803674761,15.18746218361406,15.454350843513268,15.764037537820506
New York,6.606631887270405,12.90869835349925,13.091368105131487,13.221427326998933,13.451630665822558,13.157734864965162,13.051680144867369
North Carolina,7.721785609014555,15.495772242575102,15.401751549668981,15.412353707394857,15.594922174653423,15.549702444487455,15.466653681849293
North Dakota,5.931518709688544,11.454049374664223,11.652169303389018,11.804901759259364,11.778760083987182,11.815886039191973,11.840523242636506
Ohio,7.272414382655828,16.11561476120405,16.319993056590672,16.263619314691052,16.191446219702232,16.87195074125773,16.668031186689923
Oklahoma,8.022092905933137,16.10954451576081,16.12179141920828,16.241204689561865,16.364617339086806,16.32128392209443,16.887529152704317
Oregon,8.973199735294381,21.208929273957132,22.247658570663177,22.18199786858307,21.591194302364617,20.93181966643861,20.374976979401776
Pennsylvania,6.72156109227523,14.211451169439501,14.321745617567458,14.466655627880941,14.28473325893607,14.206112350457156,14.096049957630179
Rhode Island,7.717636678055833,12.515682495181355,14.433849205424607,14.455138155852222,14.988649681663164,13.358002441827871,13.299041795384676
South Carolina,11.080075226993788,15.544074455669035,15.310294328727055,15.485740749970926,15.291015664477008,15.198679055990826,15.1852551910438
South Dakota,6.453190729524494,13.844386910903038,13.978202014379855,13.763942445710294,13.832829054763613,13.92918839000856,13.940858081487876
Tennessee,7.702403963911679,15.059767978222915,14.960885447043143,15.08881167308557,15.23516772114122,15.058882805919865,15.583589931897004
Texas,7.4174598391839135,15.420129586606372,15.511078855458438,15.403490015770513,15.291895927577086,15.263577927748475,15.194766481379396
Utah,11.187261372355419,23.058916851016477,23.047058496361874,22.95529182747995,23.21827281361876,22.85441146900807,22.877006285792945
Vermont,5.239753705933712,10.749800626278592,10.666044647341225,10.589408203836257,10.550247531033516,10.537551104112676,10.801593341289454
Virginia,6.2246085719779805,13.84848850826346,14.156375368992677,14.138285209943533,14.231561523573292,14.22177499682567,14.046272967156831
Washington,10.057420844114256,19.68146780838745,19.58506684603763,19.30013727801678,18.027711251825416,18.760556836619042,18.731717120400873
West Virginia,7.203399217880425,13.970634355798525,14.080985416257278,14.06335562783499,13.99514406296042,14.109412377341297,14.148179911346235
Wisconsin,8.395363582921114,15.487707069775002,15.159412261658312,15.081251875640303,14.927915581745923,14.91459939571639,14.648686030663155
Wyoming,5.419486747345937,11.48209932317307,12.4542488373422,12.273946783601735,12.353521332074347,12.375758320125748,12.546548266972215
